sale_date,revenue_mmk,gross_profit_mmk,transactions
2026-06-01,387750,84300,25
2026-06-02,415250,81600,34
2026-06-03,231750,50050,21
2026-06-04,431150,81450,30
2026-06-05,579700,116550,43
2026-06-06,583150,121500,39
2026-06-07,536850,115600,39
2026-06-08,460750,97050,37
2026-06-09,282150,65850,21
2026-06-10,562050,123600,36
2026-06-11,445850,102350,36
2026-06-12,317100,73800,25
2026-06-13,621450,124600,45
2026-06-14,575100,120850,43
2026-06-15,476450,98150,33
2026-06-16,488950,100750,34
2026-06-17,645050,122150,40
2026-06-18,379400,79400,34
2026-06-19,398350,86900,37
2026-06-20,523100,104750,33
2026-06-21,363100,73100,31
2026-06-22,375500,81250,28
2026-06-23,508400,104150,40
2026-06-24,401150,82950,39
2026-06-25,239500,48200,21
2026-06-26,432850,86600,37
2026-06-27,545650,108850,40
2026-06-28,478350,103450,37
2026-06-29,349450,68600,27
2026-06-30,530850,105950,37
2026-07-01,602000,121100,40
2026-07-02,474950,98850,35
2026-07-03,433900,98350,35
2026-07-04,429900,80350,36
2026-07-05,582950,121300,44
2026-07-06,434650,93050,33
2026-07-07,270550,57850,24
2026-07-08,457800,95150,37
2026-07-09,368900,69800,33
2026-07-10,516600,103500,36
2026-07-11,616250,125600,48
2026-07-12,572800,126350,42
2026-07-13,221600,45000,18
2026-07-14,386550,89750,27
2026-07-15,306150,62450,20
2026-07-16,485600,91050,34
2026-07-17,404450,82400,29
2026-07-18,541500,110300,39
2026-07-19,402900,84450,37
2026-07-20,484050,98750,33
2026-07-21,456950,107050,35
2026-07-22,576500,134000,37
2026-07-23,456900,99200,39
2026-07-24,245200,49900,26
2026-07-25,627750,138000,43
2026-07-26,566650,118550,43
2026-07-27,500600,99050,36
2026-07-28,346600,71450,34
2026-07-29,530000,104700,31
2026-07-30,515450,114900,35
2026-07-31,487550,96650,31
2026-08-01,636400,123500,43
2026-08-02,415650,84400,31
2026-08-03,496850,108650,38
2026-08-04,300950,65050,28
2026-08-05,255350,47600,23
2026-08-06,656500,133300,43
2026-08-07,474850,103600,39
2026-08-08,555700,125700,44
2026-08-09,514400,113300,48
2026-08-10,353300,78050,24
2026-08-11,479600,95300,35
2026-08-12,453800,95400,35
2026-08-13,361300,86350,30
2026-08-14,328250,62250,27
2026-08-15,438450,95400,36
2026-08-16,397050,89900,35
2026-08-17,624800,132250,46
2026-08-18,399450,86100,29
2026-08-19,446550,89800,33
2026-08-20,449600,86400,35
2026-08-21,304450,65200,23
2026-08-22,544650,112200,29
2026-08-23,592350,123950,42
2026-08-24,361800,76400,25
2026-08-25,429850,91700,31
2026-08-26,450000,95700,39
2026-08-27,405450,80550,36
2026-08-28,417650,85600,34
2026-08-29,494400,102800,40
