product_id,product_name,category,unit,default_purchase_price,default_selling_price,supplier_id,reorder_level,active,count_date,counted_quantity,sold_after_count,bought_after_count,estimated_stock,avg_daily_units,lead_time_days,safety_stock,calculated_reorder_point,effective_reorder_point,target_stock,suggested_reorder_qty,stock_status
P001,Purified Water 1L,Beverages,piece,7950,9400,S01,7,True,2026-08-15,50,4,27.0,73.0,0.26666666666666666,2,1,2,7,4,0,OK
P002,Cola 330ml,Beverages,piece,7950,9700,S02,10,True,2026-08-15,41,28,19.0,32.0,2.2,3,7,14,14,36,4,OK
P003,Orange Drink 330ml,Beverages,piece,5200,7250,S03,6,True,2026-08-15,32,36,36.0,32.0,3.1666666666666665,2,10,16,16,48,16,OK
P004,Energy Drink 250ml,Beverages,piece,1700,2300,S04,11,True,2026-08-15,20,17,30.0,33.0,1.2666666666666666,4,4,9,11,22,0,OK
P005,Instant Coffee Mix,Beverages,piece,6300,8700,S05,10,True,2026-08-15,18,33,36.0,21.0,2.0,5,6,16,16,36,15,OK
P006,Green Tea Bottle,Beverages,piece,4750,6750,S06,12,True,2026-08-15,36,27,15.0,24.0,2.1,3,6,12,12,33,9,OK
P007,Potato Chips Small,Snacks,piece,2400,2750,S01,9,True,2026-08-15,23,14,0.0,9.0,1.1666666666666667,2,4,6,9,18,9,REORDER
P008,Cream Biscuit,Snacks,piece,1200,1450,S02,8,True,2026-08-15,10,42,0.0,-32.0,3.4,3,10,20,20,54,86,REORDER
P009,Wafer Roll,Snacks,piece,7150,9500,S03,12,True,2026-08-15,57,25,0.0,32.0,1.4333333333333333,2,4,7,12,21,0,OK
P010,Peanut Pack,Snacks,pack,5600,7200,S04,7,True,2026-08-15,52,23,0.0,29.0,1.8333333333333333,4,6,13,13,32,3,OK
P011,Seaweed Snack,Snacks,piece,4100,5600,S05,9,True,2026-08-15,33,31,0.0,2.0,2.1,5,6,16,16,38,36,REORDER
P012,Cup Jelly,Snacks,piece,8800,9800,S06,11,True,2026-08-15,56,32,0.0,24.0,2.066666666666667,3,6,12,12,33,9,OK
P013,Rice 1 viss,Staples,piece,6450,8950,S01,18,True,2026-08-15,51,11,18.0,58.0,0.7,2,2,3,18,10,0,OK
P014,Cooking Oil 1L,Staples,piece,8900,10450,S02,12,True,2026-08-15,13,14,17.0,16.0,1.3333333333333333,3,4,8,12,21,5,OK
P015,Sugar 500g,Staples,piece,750,1050,S03,8,True,2026-08-15,27,53,23.0,-3.0,3.7333333333333334,2,11,18,18,56,59,REORDER
P016,Salt 400g,Staples,piece,8500,10700,S04,15,True,2026-08-15,41,20,42.0,63.0,1.2,4,4,9,15,21,0,OK
P017,Instant Noodles,Staples,piece,6850,8050,S05,13,True,2026-08-15,18,12,27.0,33.0,0.6666666666666666,5,2,5,13,12,0,OK
P018,Fish Sauce 700ml,Staples,piece,7950,11000,S06,15,True,2026-08-15,29,13,36.0,52.0,1.4666666666666666,3,4,8,15,23,0,OK
P019,Dishwashing Liquid,Household,piece,2500,3050,S01,11,True,2026-08-15,51,8,25.0,68.0,0.5,2,2,3,11,8,0,OK
P020,Laundry Powder 500g,Household,piece,7050,9600,S02,13,True,2026-08-15,15,44,26.0,-3.0,3.533333333333333,3,11,22,22,57,60,REORDER
P021,Tissue Roll,Household,piece,8200,10450,S03,17,True,2026-08-15,51,29,21.0,43.0,1.8333333333333333,2,6,10,17,28,0,OK
P022,Garbage Bag Pack,Household,pack,7450,8800,S04,6,True,2026-08-15,9,11,17.0,15.0,0.7,4,2,5,6,12,0,OK
P023,Sponge Pack,Household,pack,6250,7800,S05,18,True,2026-08-15,39,2,62.0,99.0,0.23333333333333334,5,1,2,18,4,0,OK
P024,Mosquito Coil,Household,piece,4800,5650,S06,9,True,2026-08-15,22,45,62.0,39.0,3.066666666666667,3,9,18,18,49,10,OK
P025,Bath Soap,Personal Care,piece,2150,2450,S01,16,True,2026-08-15,44,29,42.0,57.0,1.9,2,6,10,16,29,0,OK
P026,Shampoo Sachet Pack,Personal Care,pack,7250,8650,S02,7,True,2026-08-15,45,25,41.0,61.0,2.0,3,6,12,12,32,0,OK
P027,Toothpaste 100g,Personal Care,piece,500,600,S03,10,True,2026-08-15,12,26,32.0,18.0,1.6666666666666667,2,5,8,10,25,7,OK
P028,Toothbrush,Personal Care,piece,750,950,S04,16,True,2026-08-15,18,25,17.0,10.0,1.6333333333333333,4,5,12,16,28,18,REORDER
P029,Sanitary Pad Pack,Personal Care,pack,7400,9250,S05,10,True,2026-08-15,30,7,0.0,23.0,0.6666666666666666,5,2,5,10,12,0,OK
P030,Baby Powder,Personal Care,piece,8500,9850,S06,5,True,2026-08-15,23,32,0.0,-9.0,2.2,3,7,14,14,36,45,REORDER
P031,Food Container,Kitchen,piece,4750,6800,S01,13,True,2026-08-15,53,32,44.0,65.0,2.1333333333333333,2,6,10,13,32,0,OK
P032,Plastic Cup Pack,Kitchen,pack,8500,10850,S02,6,True,2026-08-15,51,14,50.0,87.0,0.9333333333333333,3,3,6,6,15,0,OK
P033,Aluminium Foil,Kitchen,piece,450,550,S03,16,True,2026-08-15,35,31,58.0,62.0,2.4,2,7,12,16,36,0,OK
P034,Cling Film,Kitchen,piece,5900,6900,S04,10,True,2026-08-15,44,44,45.0,45.0,2.7666666666666666,4,8,19,19,47,2,OK
P035,Scrub Brush,Kitchen,piece,8150,10250,S05,6,True,2026-08-15,51,7,48.0,92.0,0.9666666666666667,5,3,8,8,18,0,OK
P036,Ball Pen,Stationery,piece,4350,6250,S06,14,True,2026-08-15,55,17,71.0,109.0,0.7666666666666667,3,2,4,14,12,0,OK
P037,Exercise Book,Stationery,piece,3300,4650,S01,7,True,2026-08-15,9,23,0.0,-14.0,1.8,2,5,9,9,27,41,REORDER
P038,Pencil Pack,Stationery,pack,3300,4500,S02,10,True,2026-08-15,31,26,0.0,5.0,1.8333333333333333,3,6,12,12,30,25,REORDER
P039,Eraser,Stationery,piece,7550,9350,S03,16,True,2026-08-15,38,60,0.0,-22.0,3.7666666666666666,2,11,19,19,56,78,REORDER
P040,A4 Paper Pack,Stationery,pack,5650,6800,S04,9,True,2026-08-15,50,6,0.0,44.0,0.3333333333333333,4,1,2,9,6,0,OK
