product_id,product_name,category,unit,default_purchase_price,default_selling_price,supplier_id,reorder_level,active,units_sold,revenue_mmk,estimated_cogs_mmk,gross_profit_mmk,transactions,gross_margin_pct,avg_daily_units
P001,Purified Water 1L,Beverages,piece,7950,9400,S01,7,True,8,73850,63600,10250,6,0.13879485443466485,0.26666666666666666
P002,Cola 330ml,Beverages,piece,7950,9700,S02,10,True,66,638700,524700,114000,46,0.17848755284170972,2.2
P003,Orange Drink 330ml,Beverages,piece,5200,7250,S03,6,True,95,687350,494000,193350,67,0.28129773768822286,3.1666666666666665
P004,Energy Drink 250ml,Beverages,piece,1700,2300,S04,11,True,38,87050,64600,22450,22,0.25789775990809877,1.2666666666666666
P005,Instant Coffee Mix,Beverages,piece,6300,8700,S05,10,True,60,520200,378000,142200,44,0.27335640138408307,2.0
P006,Green Tea Bottle,Beverages,piece,4750,6750,S06,12,True,63,423500,299250,124250,50,0.29338842975206614,2.1
P007,Potato Chips Small,Snacks,piece,2400,2750,S01,9,True,35,96250,84000,12250,24,0.12727272727272726,1.1666666666666667
P008,Cream Biscuit,Snacks,piece,1200,1450,S02,8,True,102,147650,122400,25250,74,0.17101252963088384,3.4
P009,Wafer Roll,Snacks,piece,7150,9500,S03,12,True,43,407500,307450,100050,31,0.24552147239263802,1.4333333333333333
P010,Peanut Pack,Snacks,pack,5600,7200,S04,7,True,55,391750,308000,83750,38,0.21378430121250797,1.8333333333333333
P011,Seaweed Snack,Snacks,piece,4100,5600,S05,9,True,63,351050,258300,92750,46,0.2642073778664008,2.1
P012,Cup Jelly,Snacks,piece,8800,9800,S06,11,True,62,606100,545600,60500,45,0.0998185117967332,2.066666666666667
P013,Rice 1 viss,Staples,piece,6450,8950,S01,18,True,21,186600,135450,51150,14,0.2741157556270096,0.7
P014,Cooking Oil 1L,Staples,piece,8900,10450,S02,12,True,40,414900,356000,58900,30,0.14196191853458665,1.3333333333333333
P015,Sugar 500g,Staples,piece,750,1050,S03,8,True,112,117200,84000,33200,75,0.2832764505119454,3.7333333333333334
P016,Salt 400g,Staples,piece,8500,10700,S04,15,True,36,383050,306000,77050,31,0.2011486751076883,1.2
P017,Instant Noodles,Staples,piece,6850,8050,S05,13,True,20,160200,137000,23200,16,0.14481897627965043,0.6666666666666666
P018,Fish Sauce 700ml,Staples,piece,7950,11000,S06,15,True,44,478500,349800,128700,33,0.2689655172413793,1.4666666666666666
P019,Dishwashing Liquid,Household,piece,2500,3050,S01,11,True,15,45300,37500,7800,13,0.17218543046357615,0.5
P020,Laundry Powder 500g,Household,piece,7050,9600,S02,13,True,106,1011700,747300,264400,86,0.26134229514678264,3.533333333333333
P021,Tissue Roll,Household,piece,8200,10450,S03,17,True,55,571750,451000,120750,42,0.21119370354175776,1.8333333333333333
P022,Garbage Bag Pack,Household,pack,7450,8800,S04,6,True,21,184800,156450,28350,14,0.1534090909090909,0.7
P023,Sponge Pack,Household,pack,6250,7800,S05,18,True,7,54600,43750,10850,6,0.1987179487179487,0.23333333333333334
P024,Mosquito Coil,Household,piece,4800,5650,S06,9,True,92,519500,441600,77900,68,0.14995187680461983,3.066666666666667
P025,Bath Soap,Personal Care,piece,2150,2450,S01,16,True,57,139100,122550,16550,31,0.11897915168943206,1.9
P026,Shampoo Sachet Pack,Personal Care,pack,7250,8650,S02,7,True,60,518100,435000,83100,45,0.16039374638100753,2.0
P027,Toothpaste 100g,Personal Care,piece,500,600,S03,10,True,50,29950,25000,4950,33,0.1652754590984975,1.6666666666666667
P028,Toothbrush,Personal Care,piece,750,950,S04,16,True,49,46350,36750,9600,26,0.20711974110032363,1.6333333333333333
P029,Sanitary Pad Pack,Personal Care,pack,7400,9250,S05,10,True,20,183200,148000,35200,14,0.19213973799126638,0.6666666666666666
P030,Baby Powder,Personal Care,piece,8500,9850,S06,5,True,66,646100,561000,85100,52,0.13171335706546974,2.2
P031,Food Container,Kitchen,piece,4750,6800,S01,13,True,64,434150,304000,130150,44,0.29978118161925604,2.1333333333333333
P032,Plastic Cup Pack,Kitchen,pack,8500,10850,S02,6,True,28,303250,238000,65250,18,0.21516900247320692,0.9333333333333333
P033,Aluminium Foil,Kitchen,piece,450,550,S03,16,True,72,39450,32400,7050,51,0.17870722433460076,2.4
P034,Cling Film,Kitchen,piece,5900,6900,S04,10,True,83,569900,489700,80200,61,0.1407264432356554,2.7666666666666666
P035,Scrub Brush,Kitchen,piece,8150,10250,S05,6,True,29,294700,236350,58350,19,0.1979979640312182,0.9666666666666667
P036,Ball Pen,Stationery,piece,4350,6250,S06,14,True,23,143750,100050,43700,15,0.304,0.7666666666666667
P037,Exercise Book,Stationery,piece,3300,4650,S01,7,True,54,250100,178200,71900,38,0.28748500599760096,1.8
P038,Pencil Pack,Stationery,pack,3300,4500,S02,10,True,55,247100,181500,65600,42,0.26547956292998787,1.8333333333333333
P039,Eraser,Stationery,piece,7550,9350,S03,16,True,113,1054700,853150,201550,76,0.19109699440599223,3.7666666666666666
P040,A4 Paper Pack,Stationery,pack,5650,6800,S04,9,True,10,68000,56500,11500,7,0.16911764705882354,0.3333333333333333
