purchase_line_id,purchase_id,purchase_date,supplier_id,product_id,quantity,unit_purchase_price
PL000001,PO00001,2026-06-01,S01,P001,34,7850
PL000002,PO00001,2026-06-01,S01,P007,27,2350
PL000003,PO00001,2026-06-01,S01,P025,34,2250
PL000005,PO00002,2026-06-01,S02,P008,36,1200
PL000006,PO00002,2026-06-01,S02,P026,31,7050
PL000007,PO00003,2026-06-01,S03,P003,12,5200
PL000008,PO00003,2026-06-01,S03,P009,14,7000
PL000010,PO00004,2026-06-01,S04,P004,22,1750
PL000011,PO00004,2026-06-01,S04,P010,26,5850
PL000012,PO00004,2026-06-01,S04,P028,22,750
PL000013,PO00005,2026-06-01,S05,P005,29,6250
PL000014,PO00005,2026-06-01,S05,P011,29,4250
PL000015,PO00005,2026-06-01,S05,P029,31,7750
PL000016,PO00006,2026-06-01,S06,P006,17,4950
PL000017,PO00006,2026-06-01,S06,P012,31,8750
PL000018,PO00006,2026-06-01,S06,P030,19,8700
PL000019,PO00007,2026-06-06,S01,P037,41,3250
PL000020,PO00007,2026-06-06,S01,P031,26,4900
PL000021,PO00007,2026-06-06,S01,P025,29,2150
PL000022,PO00008,2026-06-06,S02,P038,43,3350
PL000023,PO00008,2026-06-06,S02,P032,44,8500
PL000024,PO00008,2026-06-06,S02,P026,22,7200
PL000025,PO00009,2026-06-06,S03,P039,23,7550
PL000026,PO00009,2026-06-06,S03,P033,34,450
PL000027,PO00009,2026-06-06,S03,P027,39,500
PL000028,PO00010,2026-06-06,S04,P040,15,5700
PL000029,PO00010,2026-06-06,S04,P034,25,6150
PL000030,PO00010,2026-06-06,S04,P028,20,800
PL000031,PO00011,2026-06-06,S05,P029,42,7350
PL000032,PO00011,2026-06-06,S05,P035,19,8100
PL000033,PO00011,2026-06-06,S05,P017,22,6700
PL000034,PO00012,2026-06-06,S06,P030,27,8900
PL000035,PO00012,2026-06-06,S06,P036,38,4500
PL000036,PO00012,2026-06-06,S06,P018,38,8150
PL000037,PO00013,2026-06-11,S01,P007,21,2350
PL000038,PO00013,2026-06-11,S01,P001,45,8000
PL000039,PO00013,2026-06-11,S01,P031,26,4600
