count_id,count_date,product_id,counted_quantity
IC000001,2026-06-01,P001,52
IC000002,2026-06-01,P002,10
IC000003,2026-06-01,P003,20
IC000004,2026-06-01,P004,31
IC000005,2026-06-01,P005,10
IC000006,2026-06-01,P006,39
IC000007,2026-06-01,P007,17
IC000008,2026-06-01,P008,-1
IC000009,2026-06-01,P009,47
IC000010,2026-06-01,P010,7
IC000011,2026-06-01,P011,17
IC000012,2026-06-01,P012,56
IC000013,2026-06-01,P013,23
IC000014,2026-06-01,P014,38
IC000015,2026-06-01,P015,37
IC000016,2026-06-01,P016,41
IC000017,2026-06-01,P017,32
IC000018,2026-06-01,P018,57
IC000019,2026-06-01,P019,18
IC000020,2026-06-01,P020,35
IC000021,2026-06-01,P021,58
IC000022,2026-06-01,P022,38
IC000023,2026-06-01,P023,33
IC000024,2026-06-01,P024,17
IC000025,2026-06-01,P025,38
IC000026,2026-06-01,P026,24
IC000027,2026-06-01,P027,31
IC000028,2026-06-01,P028,19
IC000029,2026-06-01,P029,41
IC000030,2026-06-01,P030,9
IC000031,2026-06-01,P031,49
IC000032,2026-06-01,P032,32
IC000033,2026-06-01,P033,50
IC000034,2026-06-01,P034,19
IC000035,2026-06-01,P035,47
IC000036,2026-06-01,P036,23
IC000037,2026-06-01,P037,36
IC000038,2026-06-01,P038,33
IC000039,2026-06-01,P039,35
IC000040,2026-06-01,P040,35
IC000041,2026-06-16,P001,50
IC000042,2026-06-16,P002,44
IC000043,2026-06-16,P003,6
IC000044,2026-06-16,P004,12
IC000045,2026-06-16,P005,24
IC000046,2026-06-16,P006,30
IC000047,2026-06-16,P007,53
IC000048,2026-06-16,P008,26
IC000049,2026-06-16,P009,40
IC000050,2026-06-16,P010,9
IC000051,2026-06-16,P011,42
IC000052,2026-06-16,P012,25
IC000053,2026-06-16,P013,18
IC000054,2026-06-16,P014,43
IC000055,2026-06-16,P015,39
IC000056,2026-06-16,P016,45
IC000057,2026-06-16,P017,54
IC000058,2026-06-16,P018,22
IC000059,2026-06-16,P019,43
IC000060,2026-06-16,P020,14
IC000061,2026-06-16,P021,25
IC000062,2026-06-16,P022,49
IC000063,2026-06-16,P023,24
IC000064,2026-06-16,P024,33
IC000065,2026-06-16,P025,35
IC000066,2026-06-16,P026,47
IC000067,2026-06-16,P027,53
IC000068,2026-06-16,P028,34
IC000069,2026-06-16,P029,12
IC000070,2026-06-16,P030,20
IC000071,2026-06-16,P031,40
IC000072,2026-06-16,P032,38
IC000073,2026-06-16,P033,52
IC000074,2026-06-16,P034,13
IC000075,2026-06-16,P035,47
IC000076,2026-06-16,P036,35
IC000077,2026-06-16,P037,45
IC000078,2026-06-16,P038,28
IC000079,2026-06-16,P039,16
IC000080,2026-06-16,P040,20
IC000081,2026-07-01,P001,36
IC000082,2026-07-01,P002,35
IC000083,2026-07-01,P003,41
IC000084,2026-07-01,P004,42
IC000085,2026-07-01,P005,28
IC000086,2026-07-01,P006,48
IC000087,2026-07-01,P007,29
IC000088,2026-07-01,P008,12
IC000089,2026-07-01,P009,18
IC000090,2026-07-01,P010,44
IC000091,2026-07-01,P011,46
IC000092,2026-07-01,P012,33
IC000093,2026-07-01,P013,49
IC000094,2026-07-01,P014,44
IC000095,2026-07-01,P015,30
IC000096,2026-07-01,P016,38
IC000097,2026-07-01,P017,53
IC000098,2026-07-01,P018,27
IC000099,2026-07-01,P019,34
IC000100,2026-07-01,P020,42
IC000101,2026-07-01,P021,20
IC000102,2026-07-01,P022,16
IC000103,2026-07-01,P023,46
IC000104,2026-07-01,P024,10
IC000105,2026-07-01,P025,48
IC000106,2026-07-01,P026,39
IC000107,2026-07-01,P027,15
IC000108,2026-07-01,P028,24
IC000109,2026-07-01,P029,48
IC000110,2026-07-01,P030,28
IC000111,2026-07-01,P031,53
IC000112,2026-07-01,P032,28
IC000113,2026-07-01,P033,48
IC000114,2026-07-01,P034,39
IC000115,2026-07-01,P035,16
IC000116,2026-07-01,P036,32
IC000117,2026-07-01,P037,11
IC000118,2026-07-01,P038,34
IC000119,2026-07-01,P039,25
IC000120,2026-07-01,P040,32
IC000121,2026-07-16,P001,10
IC000122,2026-07-16,P002,51
IC000123,2026-07-16,P003,47
IC000124,2026-07-16,P004,55
IC000125,2026-07-16,P005,55
IC000126,2026-07-16,P006,19
IC000127,2026-07-16,P007,22
IC000128,2026-07-16,P008,45
IC000129,2026-07-16,P009,39
