sale_line_id,transaction_id,sale_datetime,product_id,quantity,unit_selling_price,unit_cost,discount_mmk,payment_method
SL0000001,T000001,2026-06-01 18:56:00,P001,2,9400.0,7950,0,Cash
SL0000002,T000001,2026-06-01 18:56:00,P009,3,9500.0,7150,0,Cash
SL0000003,T000002,2026-06-01 15:22:00,P018,2,11000.0,7950,0,KBZPay
SL0000004,T000002,2026-06-01 15:22:00,P024,2,5650.0,4800,0,Cash
SL0000005,T000002,2026-06-01 15:22:00,P035,2,10250.0,8150,0,Cash
SL0000006,T000003,2026-06-01 15:50:00,P999,1,6900.0,5900,0,Cash
SL0000007,T000003,2026-06-01 15:50:00,P008,2,1450.0,1200,0,Cash
SL0000008,T000004,2026-06-01 18:37:00,P037,1,4650.0,3300,0,Cash
SL0000009,T000005,2026-06-01 09:14:00,P011,2,5600.0,4100,0,Cash
SL0000010,T000006,2026-06-01 17:31:00,P026,1,8650.0,7250,0,WavePay
SL0000011,T000007,2026-06-01 10:39:00,P015,2,1050.0,750,0,Cash
SL0000012,T000008,2026-06-01 16:28:00,P018,2,11000.0,7950,0,Cash
SL0000013,T000008,2026-06-01 16:28:00,P038,1,4500.0,3300,0,Cash
SL0000014,T000009,2026-06-01 20:24:00,P017,-2,8050.0,6850,0,KBZPay
SL0000015,T000010,2026-06-01 08:55:00,P002,2,9700.0,7950,0,Cash
SL0000016,T000010,2026-06-01 08:55:00,P037,1,4650.0,3300,0,Cash
SL0000017,T000011,2026-06-01 11:21:00,P024,1,5650.0,4800,0,Cash
SL0000018,T000012,2026-06-01 12:35:00,P033,1,550.0,450,0,Cash
SL0000019,T000012,2026-06-01 12:35:00,P003,1,7250.0,5200,0,KBZPay
SL0000020,T000012,2026-06-01 12:35:00,P030,1,9850.0,8500,0,Cash
SL0000021,T000013,2026-06-01 19:01:00,P014,1,10450.0,8900,0,Cash
SL0000022,T000014,2026-06-01 07:48:00,P035,1,10250.0,8150,0,cash
SL0000023,T000015,2026-06-01 11:36:00,P007,4,2750.0,2400,0,KBZPay
SL0000024,T000016,2026-06-01 13:58:00,P027,1,600.0,500,0,KBZPay
SL0000025,T000017,2026-06-01 11:43:00,P035,3,10250.0,8150,0,Cash
SL0000026,T000017,2026-06-01 11:43:00,P030,1,9850.0,8500,0,Cash
SL0000027,T000018,2026-06-01 07:18:00,P007,1,2750.0,2400,0,Cash
SL0000028,T000018,2026-06-01 07:18:00,P039,1,9350.0,7550,0,Cash
SL0000029,T000019,2026-06-01 14:18:00,P003,1,7250.0,5200,0,Cash
SL0000030,T000020,2026-06-01 17:15:00,P038,1,4500.0,3300,0,Cash
